mkt_shr,Restaurant.name,Review.date,score_t0,score_t1,score_t2,score_t3,score_t4
0.009395973154362415,El Sirenito,201702,51.0,20.0,18.0,0.0,1.0
0.008053691275167786,El Sombrero Family Mexican Restaurant,201702,12.0,4.0,13.0,41.0,16.0
0.08859060402684564,Fogón Cocina Mexicana,201702,157.0,263.0,103.0,132.0,184.0
0.04161073825503356,Fonda La Catrina,201702,72.0,58.0,33.0,71.0,36.0
0.01476510067114094,Gordito’s,201702,27.0,5.0,15.0,33.0,31.0
0.016107382550335572,Gracia,201702,20.0,40.0,61.0,0.0,-2.0
0.038926174496644296,La Carta de Oaxaca,201702,21.0,56.0,76.0,75.0,16.0
0.01879194630872483,La Cocina Oaxaquena,201702,63.0,20.0,31.0,23.0,33.0
0.021476510067114093,Los Agaves,201702,16.0,5.0,36.0,0.0,48.0
0.038926174496644296,Mezcaleria Oaxaca,201702,126.0,47.0,42.0,31.0,76.0
0.024161073825503355,Pecado Bueno,201702,90.0,20.0,10.0,8.0,21.0
0.0174496644295302,Plaza Garibaldi,201702,69.0,53.0,-7.0,50.0,8.0
0.040268456375838924,Poquitos,201702,98.0,130.0,86.0,36.0,17.0
0.020134228187919462,Rosita’s Mexican Grill,201702,0.0,27.0,68.0,56.0,34.0
0.0174496644295302,Senor Moose Cafe,201702,22.0,55.0,-4.0,31.0,53.0
0.11140939597315436,Tacos Chukis,201702,160.0,231.0,103.0,196.0,164.0
0.010738255033557046,Taquería Tequila Authentic Mexican Food,201702,-3.0,15.0,36.0,10.0,0.0
0.032214765100671144,Villa Escondida,201702,113.0,59.0,24.0,19.0,27.0
0.018970189701897018,Barrio Mexican Kitchen & Bar,201703,46.0,41.0,38.0,157.0,19.0
0.07317073170731707,Cactus Restaurants,201703,133.0,177.0,87.0,82.0,216.0
0.01084010840108401,Cafetal Quilombo,201703,0.0,22.0,0.0,34.0,41.0
0.02168021680216802,Cantina Leña,201703,27.0,26.0,82.0,9.0,36.0
0.018970189701897018,Casa Patrón,201703,77.0,6.0,18.0,24.0,32.0
0.06233062330623306,Casco Antiguo,201703,217.0,74.0,87.0,92.0,100.0
0.05555555555555555,El Borracho,201703,33.0,75.0,79.0,141.0,79.0
0.02032520325203252,El Camión,201703,45.0,34.0,32.0,23.0,28.0
0.02168021680216802,El Legendario Mexican Restaurant,201703,91.0,66.0,48.0,12.0,13.0
0.005420054200542005,El Ranchon,201703,7.0,0.0,41.0,0.0,-2.0
0.0027100271002710027,El Sirenito,201703,0.0,0.0,32.0,0.0,0.0
0.005420054200542005,El Sombrero Family Mexican Restaurant,201703,22.0,5.0,0.0,3.0,0.0
0.08943089430894309,Fogón Cocina Mexicana,201703,203.0,176.0,154.0,239.0,142.0
0.06097560975609756,Fonda La Catrina,201703,194.0,55.0,80.0,161.0,24.0
0.02168021680216802,Gordito’s,201703,65.0,4.0,8.0,30.0,48.0
0.02032520325203252,Gracia,201703,32.0,38.0,49.0,23.0,102.0
0.018970189701897018,La Carta de Oaxaca,201703,12.0,33.0,35.0,16.0,20.0
0.024390243902439025,La Cocina Oaxaquena,201703,23.0,19.0,75.0,20.0,78.0
0.012195121951219513,Los Agaves,201703,11.0,29.0,0.0,36.0,1.0
0.03929539295392954,Mezcaleria Oaxaca,201703,159.0,73.0,60.0,0.0,73.0
0.01084010840108401,Pecado Bueno,201703,4.0,26.0,33.0,3.0,0.0
0.012195121951219513,Plaza Garibaldi,201703,0.0,33.0,28.0,10.0,37.0
0.032520325203252036,Poquitos,201703,42.0,54.0,82.0,67.0,4.0
0.009485094850948509,Rosita’s Mexican Grill,201703,22.0,8.0,0.0,0.0,21.0
0.025745257452574527,Senor Moose Cafe,201703,15.0,82.0,3.0,64.0,-4.0
0.1016260162601626,Tacos Chukis,201703,156.0,183.0,244.0,96.0,137.0
0.006775067750677507,Taquería Tequila Authentic Mexican Food,201703,11.0,28.0,0.0,16.0,4.0
0.025745257452574527,Villa Escondida,201703,56.0,9.0,3.0,85.0,25.0
0.030965391621129327,Barrio Mexican Kitchen & Bar,201704,71.0,35.0,2.0,26.0,47.0
0.04735883424408015,Cactus Restaurants,201704,108.0,68.0,73.0,98.0,3.0
0.014571948998178506,Cafetal Quilombo,201704,0.0,34.0,0.0,14.0,30.0
0.03278688524590164,Cantina Leña,201704,26.0,30.0,-2.0,79.0,39.0
0.01092896174863388,Casa Patrón,201704,6.0,9.0,26.0,20.0,24.0
0.029143897996357013,Casco Antiguo,201704,51.0,22.0,52.0,79.0,-1.0
0.060109289617486336,El Borracho,201704,61.0,105.0,53.0,89.0,84.0
0.0273224043715847,El Camión,201704,79.0,0.0,27.0,92.0,21.0
0.018214936247723135,El Legendario Mexican Restaurant,201704,76.0,13.0,10.0,26.0,33.0
0.0018214936247723133,El Ranchon,201704,7.0,0.0,0.0,0.0,0.0
0.00546448087431694,El Sirenito,201704,0.0,31.0,0.0,0.0,0.0
0.01092896174863388,El Sombrero Family Mexican Restaurant,201704,13.0,6.0,0.0,0.0,85.0
0.08925318761384335,Fogón Cocina Mexicana,201704,126.0,152.0,189.0,216.0,80.0
0.06375227686703097,Fonda La Catrina,201704,106.0,40.0,52.0,71.0,112.0
0.025500910746812388,Gordito’s,201704,16.0,0.0,34.0,24.0,10.0
0.020036429872495445,Gracia,201704,16.0,89.0,38.0,8.0,-21.0
0.01092896174863388,La Carta de Oaxaca,201704,14.0,26.0,28.0,0.0,0.0
0.02185792349726776,La Cocina Oaxaquena,201704,50.0,34.0,68.0,0.0,29.0
0.009107468123861567,Los Agaves,201704,0.0,5.0,0.0,30.0,8.0
0.03825136612021858,Mezcaleria Oaxaca,201704,40.0,42.0,139.0,72.0,83.0
0.01092896174863388,Pecado Bueno,201704,33.0,14.0,0.0,0.0,10.0
0.00546448087431694,Plaza Garibaldi,201704,0.0,0.0,14.0,8.0,-24.0
0.029143897996357013,Poquitos,201704,37.0,58.0,53.0,13.0,0.0
0.023679417122040074,Rosita’s Mexican Grill,201704,15.0,66.0,41.0,89.0,27.0
0.01639344262295082,Senor Moose Cafe,201704,46.0,10.0,8.0,9.0,7.0
0.14389799635701275,Tacos Chukis,201704,120.0,248.0,164.0,220.0,154.0
0.007285974499089253,Taquería Tequila Authentic Mexican Food,201704,6.0,0.0,0.0,1.0,-1.0
0.02185792349726776,Villa Escondida,201704,38.0,9.0,23.0,36.0,5.0
0.02912621359223301,Barrio Mexican Kitchen & Bar,201801,32.0,32.0,58.0,48.0,33.0
0.05016181229773463,Cactus Restaurants,201801,49.0,111.0,83.0,135.0,31.0
0.0048543689320388345,Cafetal Quilombo,201801,14.0,0.0,0.0,9.0,0.0
0.030744336569579287,Cantina Leña,201801,92.0,34.0,65.0,80.0,29.0
0.008090614886731391,Casa Patrón,201801,29.0,6.0,0.0,42.0,0.0
0.042071197411003236,Casco Antiguo,201801,49.0,136.0,16.0,62.0,76.0
0.06634304207119741,El Borracho,201801,91.0,40.0,89.0,129.0,167.0
0.019417475728155338,El Camión,201801,11.0,24.0,23.0,20.0,0.0
0.009708737864077669,El Legendario Mexican Restaurant,201801,0.0,17.0,40.0,13.0,5.0
0.008090614886731391,El Ranchon,201801,0.0,36.0,8.0,0.0,14.0
0.0016181229773462784,El Sirenito,201801,0.0,0.0,5.0,0.0,0.0
0.0048543689320388345,El Sombrero Family Mexican Restaurant,201801,0.0,0.0,26.0,18.0,0.0
0.0970873786407767,Fogón Cocina Mexicana,201801,215.0,165.0,176.0,265.0,89.0
0.038834951456310676,Fonda La Catrina,201801,34.0,94.0,85.0,27.0,57.0
0.012944983818770227,Gordito’s,201801,30.0,36.0,33.0,0.0,14.0
0.014563106796116505,Gracia,201801,15.0,19.0,6.0,58.0,-6.0
0.016181229773462782,La Carta de Oaxaca,201801,0.0,13.0,36.0,52.0,13.0
0.02912621359223301,La Cocina Oaxaquena,201801,40.0,59.0,52.0,45.0,72.0
0.006472491909385114,Los Agaves,201801,33.0,6.0,0.0,0.0,7.0
0.021035598705501618,Mezcaleria Oaxaca,201801,85.0,2.0,35.0,57.0,32.0
0.022653721682847898,Pecado Bueno,201801,32.0,4.0,5.0,15.0,10.0
0.016181229773462782,Plaza Garibaldi,201801,7.0,33.0,64.0,0.0,66.0
0.05016181229773463,Poquitos,201801,48.0,64.0,68.0,121.0,113.0
0.02912621359223301,Rosita’s Mexican Grill,201801,107.0,68.0,12.0,0.0,56.0
0.02750809061488673,Senor Moose Cafe,201801,110.0,0.0,39.0,2.0,37.0
0.12297734627831715,Tacos Chukis,201801,96.0,270.0,165.0,128.0,225.0
0.006472491909385114,Taquería Tequila Authentic Mexican Food,201801,12.0,0.0,15.0,0.0,0.0
0.022653721682847898,Villa Escondida,201801,37.0,26.0,20.0,29.0,56.0
0.04713375796178344,Barrio Mexican Kitchen & Bar,201802,201.0,3.0,101.0,73.0,104.0
0.08152866242038216,Cactus Restaurants,201802,252.0,301.0,64.0,254.0,56.0
0.011464968152866241,Cafetal Quilombo,201802,48.0,0.0,9.0,54.0,6.0
0.015286624203821656,Cantina Leña,201802,15.0,15.0,30.0,28.0,9.0
0.008917197452229299,Casa Patrón,201802,66.0,27.0,0.0,0.0,0.0
0.025477707006369428,Casco Antiguo,201802,25.0,89.0,75.0,29.0,35.0
0.07006369426751592,El Borracho,201802,197.0,43.0,171.0,72.0,84.0
0.030573248407643312,El Camión,201802,67.0,52.0,30.0,43.0,41.0
0.015286624203821656,El Legendario Mexican Restaurant,201802,29.0,0.0,39.0,29.0,39.0
0.0025477707006369425,El Ranchon,201802,0.0,13.0,0.0,-3.0,0.0
