,Address,Business info,Price range,Restaurant name,Review counts,Yes/No
206,"2123 Queen Anne Ave N, Seattle, WA 98109",Bike Parking,20.5,Mezcaleria Oaxaca,361,Yes
207,"2123 Queen Anne Ave N, Seattle, WA 98109",Good for Kids,20.5,Mezcaleria Oaxaca,361,No
208,"2123 Queen Anne Ave N, Seattle, WA 98109",Good for Groups,20.5,Mezcaleria Oaxaca,361,Yes
209,"2123 Queen Anne Ave N, Seattle, WA 98109",Attire,20.5,Mezcaleria Oaxaca,361,Casual
210,"2123 Queen Anne Ave N, Seattle, WA 98109",Ambience,20.5,Mezcaleria Oaxaca,361,Casual
211,"2123 Queen Anne Ave N, Seattle, WA 98109",Noise Level,20.5,Mezcaleria Oaxaca,361,Average
212,"2123 Queen Anne Ave N, Seattle, WA 98109",Good For Dancing,20.5,Mezcaleria Oaxaca,361,No
213,"2123 Queen Anne Ave N, Seattle, WA 98109",Alcohol,20.5,Mezcaleria Oaxaca,361,Full Bar
214,"2123 Queen Anne Ave N, Seattle, WA 98109",Happy Hour,20.5,Mezcaleria Oaxaca,361,Yes
215,"2123 Queen Anne Ave N, Seattle, WA 98109",Outdoor Seating,20.5,Mezcaleria Oaxaca,361,No
216,"2123 Queen Anne Ave N, Seattle, WA 98109",Wi-Fi,20.5,Mezcaleria Oaxaca,361,No
217,"2123 Queen Anne Ave N, Seattle, WA 98109",Has TV,20.5,Mezcaleria Oaxaca,361,No
218,"2123 Queen Anne Ave N, Seattle, WA 98109",Caters,20.5,Mezcaleria Oaxaca,361,No
219,"219 Broadway E, Seattle, WA 98102",Has Soy-free Options,10,Tacos Chukis,1405,Yes
220,"219 Broadway E, Seattle, WA 98102",Has Kosher Options,10,Tacos Chukis,1405,Yes
221,"219 Broadway E, Seattle, WA 98102",Liked by Vegans,10,Tacos Chukis,1405,Yes
222,"219 Broadway E, Seattle, WA 98102",Has Gluten-free Options,10,Tacos Chukis,1405,Yes
223,"219 Broadway E, Seattle, WA 98102",Has Dairy-free Options,10,Tacos Chukis,1405,Yes
224,"219 Broadway E, Seattle, WA 98102",Takes Reservations,10,Tacos Chukis,1405,No
