Address,Business info,Price range,Restaurant name,Review counts,Yes/No
"306 Williams Ave S, Renton, WA 98057",Bike Parking,10.0,El Burrito Loco,323,Yes
"306 Williams Ave S, Renton, WA 98057",Good for Kids,10.0,El Burrito Loco,323,Yes
"306 Williams Ave S, Renton, WA 98057",Good for Groups,10.0,El Burrito Loco,323,Yes
"306 Williams Ave S, Renton, WA 98057",Attire,10.0,El Burrito Loco,323,Casual
"306 Williams Ave S, Renton, WA 98057",Ambience,10.0,El Burrito Loco,323,Casual
"306 Williams Ave S, Renton, WA 98057",Noise Level,10.0,El Burrito Loco,323,Average
"306 Williams Ave S, Renton, WA 98057",Alcohol,10.0,El Burrito Loco,323,No
"306 Williams Ave S, Renton, WA 98057",Outdoor Seating,10.0,El Burrito Loco,323,No
"306 Williams Ave S, Renton, WA 98057",Wi-Fi,10.0,El Burrito Loco,323,No
"306 Williams Ave S, Renton, WA 98057",Has TV,10.0,El Burrito Loco,323,Yes
"306 Williams Ave S, Renton, WA 98057",Waiter Service,10.0,El Burrito Loco,323,No
"306 Williams Ave S, Renton, WA 98057",Caters,10.0,El Burrito Loco,323,No
"10601 16th Ave SW, Seattle, WA 98146",Takes Reservations,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Delivery,20.5,Viva Mexico,69,No
"10601 16th Ave SW, Seattle, WA 98146",Take-out,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Accepts Credit Cards,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Good For,20.5,Viva Mexico,69,"Lunch, Dinner"
"10601 16th Ave SW, Seattle, WA 98146",Parking,20.5,Viva Mexico,69,Private Lot
"10601 16th Ave SW, Seattle, WA 98146",Bike Parking,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Wheelchair Accessible,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Good for Kids,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Good for Groups,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Attire,20.5,Viva Mexico,69,Casual
"10601 16th Ave SW, Seattle, WA 98146",Ambience,20.5,Viva Mexico,69,Casual
"10601 16th Ave SW, Seattle, WA 98146",Noise Level,20.5,Viva Mexico,69,Average
"10601 16th Ave SW, Seattle, WA 98146",Alcohol,20.5,Viva Mexico,69,Full Bar
"10601 16th Ave SW, Seattle, WA 98146",Outdoor Seating,20.5,Viva Mexico,69,No
"10601 16th Ave SW, Seattle, WA 98146",Wi-Fi,20.5,Viva Mexico,69,No
"10601 16th Ave SW, Seattle, WA 98146",Has TV,20.5,Viva Mexico,69,No
"10601 16th Ave SW, Seattle, WA 98146",Waiter Service,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Caters,20.5,Viva Mexico,69,Yes
"10601 16th Ave SW, Seattle, WA 98146",Gender Neutral Restrooms,20.5,Viva Mexico,69,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Takes Reservations,10.0,Jose’s Taqueria,40,No
"12336 Lake City Way NE, Seattle, WA 98125",Delivery,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Take-out,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Accepts Credit Cards,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Parking,10.0,Jose’s Taqueria,40,Street
"12336 Lake City Way NE, Seattle, WA 98125",Bike Parking,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Good for Kids,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Good for Groups,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Attire,10.0,Jose’s Taqueria,40,Casual
"12336 Lake City Way NE, Seattle, WA 98125",Noise Level,10.0,Jose’s Taqueria,40,Quiet
"12336 Lake City Way NE, Seattle, WA 98125",Alcohol,10.0,Jose’s Taqueria,40,No
"12336 Lake City Way NE, Seattle, WA 98125",Outdoor Seating,10.0,Jose’s Taqueria,40,No
"12336 Lake City Way NE, Seattle, WA 98125",Wi-Fi,10.0,Jose’s Taqueria,40,No
"12336 Lake City Way NE, Seattle, WA 98125",Has TV,10.0,Jose’s Taqueria,40,Yes
"12336 Lake City Way NE, Seattle, WA 98125",Caters,10.0,Jose’s Taqueria,40,Yes
"14339 NE 20th St, Bellevue, WA 98007",Liked by Vegetarians,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Takes Reservations,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Delivery,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Take-out,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Accepts Credit Cards,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Accepts Apple Pay,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Accepts Google Pay,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Accepts Bitcoin,10.0,Señor Taco,148,No
